card_number,player_name,team_name,rarity_name,position,variant_type,is_autograph,is_numbered,print_run,product_name,season,source_verified
1,Écusson,Angers SCO,Écusson,écusson,base,false,false,,Adrenalyn XL Ligue 1 2024-2025,2024-2025,true
2,Yahia Fofana,Angers SCO,Base,gardien,base,false,false,,Adrenalyn XL Ligue 1 2024-2025,2024-2025,true
3,Melvin Zinga,Angers SCO,Base,défenseur,base,false,false,,Adrenalyn XL Ligue 1 2024-2025,2024-2025,true
4,Abdoulaye Bamba,Angers SCO,Base,défenseur,base,false,false,,Adrenalyn XL Ligue 1 2024-2025,2024-2025,true
5,Florent Hanin,Angers SCO,Base,défenseur,base,false,false,,Adrenalyn XL Ligue 1 2024-2025,2024-2025,true
6,Cédric Hountondji,Angers SCO,Base,défenseur,base,false,false,,Adrenalyn XL Ligue 1 2024-2025,2024-2025,true
7,Jordan Lefort,Angers SCO,Base,défenseur,base,false,false,,Adrenalyn XL Ligue 1 2024-2025,2024-2025,true
8,Lilian Raolisoa,Angers SCO,Base,défenseur,base,false,false,,Adrenalyn XL Ligue 1 2024-2025,2024-2025,true
9,Yan Valery,Angers SCO,Base,défenseur,base,false,false,,Adrenalyn XL Ligue 1 2024-2025,2024-2025,true
10,Himad Abdelli,Angers SCO,Base,milieu,base,false,false,,Adrenalyn XL Ligue 1 2024-2025,2024-2025,true
11,Pierrick Capelle,Angers SCO,Base,milieu,base,false,false,,Adrenalyn XL Ligue 1 2024-2025,2024-2025,true
12,Joseph Lopy,Angers SCO,Base,milieu,base,false,false,,Adrenalyn XL Ligue 1 2024-2025,2024-2025,true
13,Zinédine Ould Khaled,Angers SCO,Base,milieu,base,false,false,,Adrenalyn XL Ligue 1 2024-2025,2024-2025,true
14,Loïs Diony,Angers SCO,Base,attaquant,base,false,false,,Adrenalyn XL Ligue 1 2024-2025,2024-2025,true
15,Farid El Melali,Angers SCO,Base,attaquant,base,false,false,,Adrenalyn XL Ligue 1 2024-2025,2024-2025,true
16,Zinedine Ferhat,Angers SCO,Base,attaquant,base,false,false,,Adrenalyn XL Ligue 1 2024-2025,2024-2025,true
17,Esteban Lepaul,Angers SCO,Base,attaquant,base,false,false,,Adrenalyn XL Ligue 1 2024-2025,2024-2025,true
18,Ibrahima Niane,Angers SCO,Base,attaquant,base,false,false,,Adrenalyn XL Ligue 1 2024-2025,2024-2025,true
19,Écusson,AJ Auxerre,Écusson,écusson,base,false,false,,Adrenalyn XL Ligue 1 2024-2025,2024-2025,true
20,Théo De Percin,AJ Auxerre,Base,gardien,base,false,false,,Adrenalyn XL Ligue 1 2024-2025,2024-2025,true
21,Donovan Léon,AJ Auxerre,Base,gardien,base,false,false,,Adrenalyn XL Ligue 1 2024-2025,2024-2025,true
22,Saad Agouzoul,AJ Auxerre,Base,défenseur,base,false,false,,Adrenalyn XL Ligue 1 2024-2025,2024-2025,true
23,Clément Akpa,AJ Auxerre,Base,défenseur,base,false,false,,Adrenalyn XL Ligue 1 2024-2025,2024-2025,true
24,Colin Dagba,AJ Auxerre,Base,défenseur,base,false,false,,Adrenalyn XL Ligue 1 2024-2025,2024-2025,true
25,Paul Joly,AJ Auxerre,Base,défenseur,base,false,false,,Adrenalyn XL Ligue 1 2024-2025,2024-2025,true
26,Jubal,AJ Auxerre,Base,défenseur,base,false,false,,Adrenalyn XL Ligue 1 2024-2025,2024-2025,true
27,Gideon Mensah,AJ Auxerre,Base,défenseur,base,false,false,,Adrenalyn XL Ligue 1 2024-2025,2024-2025,true
28,Théo Pellenard,AJ Auxerre,Base,défenseur,base,false,false,,Adrenalyn XL Ligue 1 2024-2025,2024-2025,true
29,Assane Dioussé,AJ Auxerre,Base,milieu,base,false,false,,Adrenalyn XL Ligue 1 2024-2025,2024-2025,true
30,Elisha Owusu,AJ Auxerre,Base,milieu,base,false,false,,Adrenalyn XL Ligue 1 2024-2025,2024-2025,true
31,Gaëtan Perrin,AJ Auxerre,Base,milieu,base,false,false,,Adrenalyn XL Ligue 1 2024-2025,2024-2025,true
32,Rayan Raveloson,AJ Auxerre,Base,milieu,base,false,false,,Adrenalyn XL Ligue 1 2024-2025,2024-2025,true
33,Florian Ayé,AJ Auxerre,Base,attaquant,base,false,false,,Adrenalyn XL Ligue 1 2024-2025,2024-2025,true
34,Gauthier Hein,AJ Auxerre,Base,attaquant,base,false,false,,Adrenalyn XL Ligue 1 2024-2025,2024-2025,true
35,Ado Onaiwu,AJ Auxerre,Base,attaquant,base,false,false,,Adrenalyn XL Ligue 1 2024-2025,2024-2025,true
36,Lassine Sinayoko,AJ Auxerre,Base,attaquant,base,false,false,,Adrenalyn XL Ligue 1 2024-2025,2024-2025,true
37,Écusson,Stade Brestois 29,Écusson,écusson,base,false,false,,Adrenalyn XL Ligue 1 2024-2025,2024-2025,true
38,Marco Bizot,Stade Brestois 29,Base,gardien,base,false,false,,Adrenalyn XL Ligue 1 2024-2025,2024-2025,true
39,Grégoire Coudert,Stade Brestois 29,Base,gardien,base,false,false,,Adrenalyn XL Ligue 1 2024-2025,2024-2025,true
40,Lilian Brassier,Stade Brestois 29,Base,défenseur,base,false,false,,Adrenalyn XL Ligue 1 2024-2025,2024-2025,true
41,Brendan Chardonnet,Stade Brestois 29,Base,défenseur,base,false,false,,Adrenalyn XL Ligue 1 2024-2025,2024-2025,true
42,Kenny Lala,Stade Brestois 29,Base,défenseur,base,false,false,,Adrenalyn XL Ligue 1 2024-2025,2024-2025,true
43,Julien Le Cardinal,Stade Brestois 29,Base,défenseur,base,false,false,,Adrenalyn XL Ligue 1 2024-2025,2024-2025,true
44,Bradley Locko,Stade Brestois 29,Base,défenseur,base,false,false,,Adrenalyn XL Ligue 1 2024-2025,2024-2025,true
45,Mahdi Camara,Stade Brestois 29,Base,milieu,base,false,false,,Adrenalyn XL Ligue 1 2024-2025,2024-2025,true
46,Kamory Doumbia,Stade Brestois 29,Base,milieu,base,false,false,,Adrenalyn XL Ligue 1 2024-2025,2024-2025,true
47,Pierre Lees-Melou,Stade Brestois 29,Base,milieu,base,false,false,,Adrenalyn XL Ligue 1 2024-2025,2024-2025,true
48,Hugo Magnetti,Stade Brestois 29,Base,milieu,base,false,false,,Adrenalyn XL Ligue 1 2024-2025,2024-2025,true
49,Jonas Martin,Stade Brestois 29,Base,milieu,base,false,false,,Adrenalyn XL Ligue 1 2024-2025,2024-2025,true
50,Romain Del Castillo,Stade Brestois 29,Base,attaquant,base,false,false,,Adrenalyn XL Ligue 1 2024-2025,2024-2025,true
51,Jérémy Le Douaron,Stade Brestois 29,Base,attaquant,base,false,false,,Adrenalyn XL Ligue 1 2024-2025,2024-2025,true
52,Steve Mounie,Stade Brestois 29,Base,attaquant,base,false,false,,Adrenalyn XL Ligue 1 2024-2025,2024-2025,true
